appid,name,total_reviews,positive_reviews_percent,developer,publisher,metacritic_score,is_free,genre1,genre2,genre3,price,peak
267060,Gravity Badgers,431,0.612529002,Wales Interactive,Wales Interactive,50,0,4,23,-1,1850,122
265810,The Sandbox,561,0.56684492,PIXOWL INC.,PIXOWL INC.,50,0,4,23,28,0,105
265830,Monochroma,692,0.74566474,Nowhere Studios,Nowhere Studios,55,0,1,25,23,7395,39
265870,Alpha Kimori™ Episode One ,220,0.581818182,Sherman3D,Sherman3D,50,0,25,4,23,3695,210
265890,Hexcells,5206,0.968497887,Matthew Brown,Matthew Brown,50,0,4,23,2,1095,377
265930,Goat Simulator,63567,0.903424733,Coffee Stain Studios,Coffee Stain Publishing,62,0,4,23,28,3695,10022
265950,Ether One,426,0.741784038,White Paper Games,White Paper Games,82,0,25,23,-1,7395,79
265970,Worlds of Magic,497,0.464788732,Wastelands Interactive,Wastelands Interactive,52,0,3,2,-1,9295,202
265990,Rogue's Tale,632,0.721518987,Epixx.org,Epixx.org,50,0,23,3,-1,2595,186
266010,LYNE,8029,0.957902603,Thomas Bowker,Thomas Bowker,50,0,4,23,-1,1095,399
266030,DRAKERZ-Confrontation,256,0.51953125,Peoleo Entertainment,Peoleo Entertainment,50,1,37,23,2,0,411
266050,Into the Dark,226,0.442477876,Homegrown Games,Homegrown Games,50,0,1,25,23,1850,1919
266090,Starlite: Astronaut Rescue,194,0.37628866,Project Whitecard Studios Inc.,Project Whitecard Studios Inc.,50,0,25,3,28,0,23
266110,Tower of Guns,1165,0.803433476,Terrible Posture Games,Versus Evil,76,0,1,23,-1,2512,341
266130,Breach & Clear,2370,0.824472574,Mighty Rabbit Studios,Good Shepherd Entertainment,50,0,1,3,28,5595,508
266150,Lost Saga North America,688,0.601744186,IO Entertainment,Smilegate West,50,0,1,4,37,0,468
266170,Windforge,593,0.672849916,Snowed In Studios,Snowed In Studios,53,0,1,23,3,3695,212
266190,Astral Terra,153,0.516339869,Tethys Interactive LLC,Tethys Interactive LLC,50,0,1,25,23,3695,7
266210,One Way Heroics,3932,0.942268566,Smoking WOLF,PLAYISM,50,0,23,3,-1,1273,775
266230,Last Dream,500,0.832,White Giant RPG Studios,White Giant RPG Studios,50,0,23,3,-1,3695,265
266250,Procyon,121,0.892561983,Deadly Red Cube,Deadly Red Cube,50,0,1,23,-1,1450,39
266270,Gridiron Solitaire,78,0.782051282,Bill and Eli Productions,Bill and Eli Productions,50,0,4,18,-1,2950,68
266290,Helicopter Simulator 2014: Search and Rescue,353,0.328611898,VipaGames,SIG Publishing,50,0,28,-1,-1,2595,26
266310,GameGuru Classic,2045,0.731051345,TheGameCreators,TheGameCreators,50,0,51,53,54,7395,1082
266330,Ethan: Meteor Hunter,232,0.61637931,Seaven Studio,Seaven Studio,50,0,1,23,-1,3695,82
266370,Calibre 10 Racing Series,114,0.421052632,Bongfish GmbH,Bongfish GmbH,50,0,1,9,70,0,59
266390,Farm for your Life,611,0.816693944,Hammer Labs,Hammer Labs,50,0,4,23,28,0,337
266410,iRacing,3039,0.860151366,iRacing.com Motorsport Simulations,iRacing.com Motorsport Simulations,79,0,29,9,28,3695,635
266430,Anarchy Arcade,2221,0.68752814,Elijah Newman-Gomez,Elijah Newman-Gomez,50,1,4,37,23,0,515
266490,Lili: Child of Geos,967,0.858324716,"BitMonster, Inc.","BitMonster, Inc.",50,0,25,23,3,5595,67
266510,Hand of Fate,10319,0.897567594,Defiant Development,Defiant Development,78,0,1,23,3,7395,2169
265170,Acceleration of Suguri X-Edition,224,0.816964286,Orange_Juice,Rockin Android,50,0,1,23,-1,2195,108
265191,Thief - Opportunist,101,0.742574257,Eidos-Montréal,Eidos Interactive Corp.,50,0,1,25,3,350,0
265193,Thief - Ghost,64,0.609375,Eidos-Montréal,Eidos Interactive Corp.,50,0,1,25,3,350,0
265210,Viscera Cleanup Detail: Santa's Rampage,5362,0.910854159,RuneStorm,RuneStorm,50,0,74,23,28,1095,686
265300,Lords Of The Fallen,18646,0.599270621,CI Games,CI Games,73,0,1,3,-1,11095,8014
265330,Gomo,1675,0.767164179,Fishcow Studio,Daedalic Entertainment,50,0,25,23,-1,1850,777
265380,Grimind,272,0.650735294,Paweł Mogiła,Forever Entertainment S. A.,50,0,1,25,23,3695,1519
265400,FX Football - The Manager for Every Football Fan,167,0.443113772,FX Interactive,FX Interactive,50,0,28,18,2,0,62
265550,Dead Rising 3,16399,0.754009391,Capcom Game Studio Vancouver,Capcom,50,0,1,-1,-1,14400,11398
265590,The Red Solstice,2397,0.722152691,Ironward,Ironward,74,0,1,3,2,3695,81972
265610,Epic Battle Fantasy 4,2884,0.96740638,Matt Roszak,Matt Roszak,50,0,25,3,-1,4395,1111
265630,Fistful of Frags,34731,0.913708215,Fistful of Frags Team,Fistful of Frags Team,50,1,1,37,23,0,3498
265670,Imagine Me,429,0.319347319,KinifiGames LLC,KinifiGames LLC,50,0,25,23,-1,0,169
265690,NaissanceE,3026,0.843027098,Limasse Five,Limasse Five,66,1,25,23,-1,0,230
265750,Secret Ponchos,1321,0.705526117,Switchblade Monkeys Entertainment,Switchblade Monkeys Entertainment,50,0,1,23,-1,0,1357
265770,Cannons Lasers Rockets,516,0.242248062,Net Games Laboratory,Net Games Distribution LTD,50,1,1,37,23,0,71
265790,Residue: Final Cut,103,0.601941748,The Working Parts,The Working Parts,50,0,25,23,-1,725,45
264930,Professional Farmer 2014 Demo,54,0.574074074,PlayWay S.A.,United Independent Entertainment,50,1,28,-1,-1,0,232
265000,FORCED SHOWDOWN,645,0.837209302,BetaDwarf,BetaDwarf,67,0,1,23,3,7395,347
265120,Meridian: New World,506,0.4743083,Elder Games,Headup Publishing,43,0,23,2,-1,2595,463
264220,Mr. Bree+,226,0.853982301,TawStudio Entertainment,TawStudio Entertainment,50,0,1,25,23,0,178
264280,99 Levels To Hell,589,0.619694397,Zaxis Games,Zaxis Games,66,0,1,25,23,1850,164
264300,Guns'N'Zombies,963,0.69470405,Krealit,Krealit,50,0,1,25,23,2950,329
264320,Captain Morgane and the Golden Turtle,172,0.610465116,WizarBox,Reef Entertainment,50,0,25,4,-1,1850,117
264340,Major Mayhem,285,0.831578947,Rocket Jump,Rocket Jump,50,0,1,25,4,1850,108
264380,Narcissu 1st & 2nd,4141,0.9533929,stage-nana,Sekai Project,50,1,23,-1,-1,0,399
264460,A-men,54,0.481481481,Bloober Team SA,Bloober Team SA,50,0,1,25,23,3695,54
264520,Moebius: Empire Rising,311,0.749196141,Phoenix Online Studios,Phoenix Online Publishing,54,0,25,23,-1,5595,195
264540,Platformines,316,0.658227848,Magiko Gaming,BANDAI NAMCO Entertainment,67,0,1,23,-1,350,229
264560,Quest for Infamy,212,0.844339623,Infamous Quests,Phoenix Online Publishing,63,0,25,23,3,3695,108
264580,Lost Civilization,124,0.516129032,Icarus Games,Phoenix Online Publishing,50,0,25,4,-1,1850,11
264600,Sonic and All-Stars Racing Transformed -Yogscast DLC,60,0.75,Sumo Digital,SEGA,50,0,9,18,-1,0,0
264610,PAYDAY 2: Armored Transport,703,0.716927454,OVERKILL - a Starbreeze Studio.,505 Games,50,0,1,3,-1,725,1
264690,Coin Crypt,586,0.866894198,Wishes Ultd.,Greg Lobanov,50,0,23,3,-1,3695,320
264710,Subnautica,233255,0.966423013,Unknown Worlds Entertainment,Unknown Worlds Entertainment,87,0,25,23,-1,11095,50876
264730,Deadly 30,1722,0.759581882,Ignatus Zuk and Gonzalo Villagomez,Headup Publishing,50,0,1,23,-1,1850,677
264850,TrackMania² Canyon Demo,54,0.851851852,Nadeo,Ubisoft,81,1,9,18,-1,0,162
263300,BlazBlue: Calamity Trigger,2961,0.861533266,Arc System Works,"H2 Interactive Co., Ltd.",50,0,1,-1,-1,3695,264
