appid,name,total_reviews,positive_reviews_percent,developer,publisher,metacritic_score,is_free,genre1,genre2,genre3,price,peak
2266930,RUSLICSTAN INVADES,105,0.8761904761904762,SLAM AWAY GAMES,SLAM AWAY GAMES,50,0,1,25,23,499.0,25
2266410,Drifting with Maxwell Cat: The Game,106,0.7075471698113207,GameToTop,GameToTop,50,0,1,4,9,3695.0,6
2266420,Destiny 2: Legacy Collection (2023),59,0.711864406779661,Bungie,Bungie,50,0,1,25,37,20995.0,0
2265790,部落与弯刀 - 比武大会,74,0.4864864864864865,汉家松鼠Han-Squirrel Studio,XD,50,0,25,23,3,1850.0,0
2265180,Sex with Succubus ❤️‍🔥,139,0.5899280575539568,Octo Games,Octo Games,50,0,4,23,-1,3695.0,254
2264460,UnderBackroom,68,0.3676470588235294,okeyplaystudio,okeyplaystudio,50,0,25,23,70,1450.0,112
2264880,My MILF Stepmom💋,478,0.7677824267782427,DuaWolf,DuaWolf Studio,50,0,4,28,-1,2595.0,150
2262970,Elle: Portal,149,0.9463087248322148,L. Stotch,L. Stotch,50,1,1,25,4,0.0,46
2263010,Pineapple on pizza,16675,0.9805697151424289,Majorariatto,Majorariatto,50,1,4,37,23,0.0,419
2262770,Garten of Banban 2,2680,0.6582089552238806,Euphoric Brothers,Euphoric Brothers,50,0,1,25,4,1850.0,1613
2261981,MOBILE SUIT GUNDAM BATTLE OPERATION 2 - Start Dash Pack,58,0.1206896551724138,"B.B.STUDIO CO.,LTD.",Bandai Namco Entertainment Inc.,50,0,1,37,-1,1200.0,0
2261982,MOBILE SUIT GUNDAM BATTLE OPERATION 2 - Release Anniversary Pack,85,0.2,"B.B.STUDIO CO.,LTD.",Bandai Namco Entertainment Inc.,50,0,1,37,-1,0.0,0
2261983,MOBILE SUIT GUNDAM BATTLE OPERATION 2 - Code Fairy Item Set,58,0.4482758620689655,"B.B.STUDIO CO.,LTD.",Bandai Namco Entertainment Inc.,50,0,1,37,-1,9900.0,0
2261240,Nope Nope Nope Nurses,75,0.9466666666666668,Dark One!,Shiravune,50,0,25,-1,-1,4165.0,17
